"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007M","B08303_007MA","B08303_007EA","B08303_008E","B08303_008EA","B08303_008M","B08303_008MA","B08303_009E","B08303_009EA","B08303_009M","B08303_009MA","B08303_010E","B08303_010EA","B08303_010M","B08303_010MA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012M","B08303_012MA","B08303_012EA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Less than 5 minutes","Margin of Error!!Total!!Less than 5 minutes","Annotation of Margin of Error!!Total!!Less than 5 minutes","Annotation of Estimate!!Total!!Less than 5 minutes","Estimate!!Total!!5 to 9 minutes","Margin of Error!!Total!!5 to 9 minutes","Annotation of Margin of Error!!Total!!5 to 9 minutes","Annotation of Estimate!!Total!!5 to 9 minutes","Estimate!!Total!!10 to 14 minutes","Annotation of Estimate!!Total!!10 to 14 minutes","Margin of Error!!Total!!10 to 14 minutes","Annotation of Margin of Error!!Total!!10 to 14 minutes","Estimate!!Total!!15 to 19 minutes","Annotation of Estimate!!Total!!15 to 19 minutes","Margin of Error!!Total!!15 to 19 minutes","Annotation of Margin of Error!!Total!!15 to 19 minutes","Estimate!!Total!!20 to 24 minutes","Annotation of Estimate!!Total!!20 to 24 minutes","Margin of Error!!Total!!20 to 24 minutes","Annotation of Margin of Error!!Total!!20 to 24 minutes","Estimate!!Total!!25 to 29 minutes","Margin of Error!!Total!!25 to 29 minutes","Annotation of Margin of Error!!Total!!25 to 29 minutes","Annotation of Estimate!!Total!!25 to 29 minutes","Estimate!!Total!!30 to 34 minutes","Annotation of Estimate!!Total!!30 to 34 minutes","Margin of Error!!Total!!30 to 34 minutes","Annotation of Margin of Error!!Total!!30 to 34 minutes","Estimate!!Total!!35 to 39 minutes","Annotation of Estimate!!Total!!35 to 39 minutes","Margin of Error!!Total!!35 to 39 minutes","Annotation of Margin of Error!!Total!!35 to 39 minutes","Estimate!!Total!!40 to 44 minutes","Annotation of Estimate!!Total!!40 to 44 minutes","Margin of Error!!Total!!40 to 44 minutes","Annotation of Margin of Error!!Total!!40 to 44 minutes","Estimate!!Total!!45 to 59 minutes","Annotation of Estimate!!Total!!45 to 59 minutes","Margin of Error!!Total!!45 to 59 minutes","Annotation of Margin of Error!!Total!!45 to 59 minutes","Estimate!!Total!!60 to 89 minutes","Margin of Error!!Total!!60 to 89 minutes","Annotation of Margin of Error!!Total!!60 to 89 minutes","Annotation of Estimate!!Total!!60 to 89 minutes","Estimate!!Total!!90 or more minutes","Annotation of Estimate!!Total!!90 or more minutes","Margin of Error!!Total!!90 or more minutes","Annotation of Margin of Error!!Total!!90 or more minutes",
"1400000US17031803008","Census Tract 8030.08, Cook County, Illinois","2107","199","null","null","20","23","null","null","247","118","null","null","278","null","93","null","279","null","90","null","289","null","93","null","129","51","null","null","285","null","101","null","26","null","28","null","78","null","47","null","170","null","71","null","195","71","null","null","111","null","85","null",
"1400000US17031803010","Census Tract 8030.10, Cook County, Illinois","2574","228","null","null","45","38","null","null","69","38","null","null","195","null","72","null","335","null","144","null","442","null","115","null","175","73","null","null","552","null","113","null","91","null","47","null","153","null","54","null","162","null","65","null","255","93","null","null","100","null","56","null",
"1400000US17031803012","Census Tract 8030.12, Cook County, Illinois","1252","151","null","null","11","16","null","null","73","44","null","null","148","null","97","null","206","null","85","null","74","null","62","null","157","92","null","null","183","null","74","null","62","null","44","null","69","null","53","null","223","null","81","null","42","48","null","null","4","null","8","null",
"1400000US17031803013","Census Tract 8030.13, Cook County, Illinois","2579","266","null","null","102","55","null","null","141","77","null","null","231","null","92","null","314","null","126","null","481","null","152","null","157","88","null","null","469","null","142","null","155","null","83","null","163","null","105","null","83","null","70","null","168","85","null","null","115","null","64","null",
"1400000US17031803014","Census Tract 8030.14, Cook County, Illinois","1854","199","null","null","41","28","null","null","164","113","null","null","277","null","87","null","238","null","85","null","269","null","82","null","102","46","null","null","337","null","95","null","103","null","64","null","74","null","43","null","152","null","69","null","75","32","null","null","22","null","24","null",
"1400000US17031803015","Census Tract 8030.15, Cook County, Illinois","2119","163","null","null","36","51","null","null","118","62","null","null","279","null","93","null","234","null","77","null","286","null","98","null","184","84","null","null","372","null","95","null","115","null","64","null","168","null","76","null","250","null","91","null","49","31","null","null","28","null","26","null",
"1400000US17031803016","Census Tract 8030.16, Cook County, Illinois","1235","108","null","null","40","46","null","null","79","37","null","null","96","null","36","null","174","null","53","null","264","null","67","null","88","47","null","null","182","null","42","null","22","null","17","null","83","null","43","null","66","null","44","null","69","29","null","null","72","null","32","null",
"1400000US17031803017","Census Tract 8030.17, Cook County, Illinois","3326","298","null","null","0","15","null","null","286","175","null","null","390","null","145","null","386","null","120","null","504","null","166","null","258","115","null","null","386","null","138","null","144","null","78","null","385","null","127","null","304","null","109","null","187","96","null","null","96","null","63","null",
"1400000US17031803100","Census Tract 8031, Cook County, Illinois","1616","143","null","null","4","7","null","null","184","78","null","null","149","null","58","null","149","null","65","null","228","null","75","null","122","68","null","null","240","null","81","null","6","null","12","null","76","null","44","null","231","null","90","null","202","75","null","null","25","null","23","null",
"1400000US17031803200","Census Tract 8032, Cook County, Illinois","2031","287","null","null","66","67","null","null","195","127","null","null","226","null","104","null","226","null","99","null","391","null","118","null","158","118","null","null","127","null","75","null","29","null","34","null","134","null","80","null","199","null","89","null","201","89","null","null","79","null","55","null",
"1400000US17031803300","Census Tract 8033, Cook County, Illinois","2907","336","null","null","0","15","null","null","92","56","null","null","313","null","165","null","394","null","145","null","573","null","205","null","135","77","null","null","227","null","118","null","76","null","55","null","266","null","131","null","479","null","194","null","297","115","null","null","55","null","46","null",
"1400000US17031803400","Census Tract 8034, Cook County, Illinois","2897","258","null","null","48","46","null","null","454","170","null","null","243","null","104","null","387","null","166","null","189","null","76","null","210","104","null","null","413","null","141","null","116","null","91","null","117","null","84","null","377","null","141","null","312","140","null","null","31","null","35","null",
"1400000US17031803500","Census Tract 8035, Cook County, Illinois","2544","302","null","null","30","34","null","null","415","155","null","null","286","null","178","null","206","null","151","null","254","null","93","null","92","49","null","null","351","null","136","null","44","null","32","null","189","null","93","null","302","null","147","null","281","117","null","null","94","null","71","null",
"1400000US17031803603","Census Tract 8036.03, Cook County, Illinois","3134","302","null","null","29","31","null","null","128","78","null","null","368","null","139","null","257","null","96","null","534","null","173","null","272","117","null","null","467","null","158","null","197","null","70","null","273","null","133","null","216","null","89","null","342","129","null","null","51","null","49","null",
"1400000US17031803604","Census Tract 8036.04, Cook County, Illinois","2035","170","null","null","37","29","null","null","228","88","null","null","145","null","57","null","279","null","78","null","332","null","102","null","126","67","null","null","312","null","104","null","96","null","42","null","73","null","43","null","175","null","57","null","206","73","null","null","26","null","24","null",
