"GEO_ID","NAME","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003EA","B08303_003M","B08303_003MA","B08303_004E","B08303_004EA","B08303_004M","B08303_004MA","B08303_005E","B08303_005EA","B08303_005M","B08303_005MA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007EA","B08303_007M","B08303_007MA","B08303_008E","B08303_008M","B08303_008MA","B08303_008EA","B08303_009E","B08303_009M","B08303_009MA","B08303_009EA","B08303_010E","B08303_010EA","B08303_010M","B08303_010MA","B08303_011E","B08303_011EA","B08303_011M","B08303_011MA","B08303_012E","B08303_012EA","B08303_012M","B08303_012MA","B08303_013E","B08303_013EA","B08303_013M","B08303_013MA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Annotation of Margin of Error!!Total:!!Less than 5 minutes","Annotation of Estimate!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Annotation of Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Annotation of Margin of Error!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Annotation of Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Annotation of Margin of Error!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Annotation of Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Annotation of Margin of Error!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Annotation of Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Annotation of Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Annotation of Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Annotation of Margin of Error!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Annotation of Margin of Error!!Total:!!30 to 34 minutes","Annotation of Estimate!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Annotation of Margin of Error!!Total:!!35 to 39 minutes","Annotation of Estimate!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Annotation of Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Annotation of Margin of Error!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Annotation of Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Annotation of Margin of Error!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Annotation of Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Annotation of Margin of Error!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Annotation of Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Annotation of Margin of Error!!Total:!!90 or more minutes",
"1400000US17031420400","Census Tract 4204, Cook County, Illinois","369","121","null","null","19","30","null","null","0","null","12","null","91","null","53","null","99","null","53","null","56","null","55","null","10","null","15","null","20","18","null","null","0","12","null","null","21","null","27","null","47","null","36","null","6","null","9","null","0","null","12","null",
"1400000US17031420500","Census Tract 4205, Cook County, Illinois","468","132","null","null","13","21","null","null","0","null","12","null","38","null","39","null","65","null","55","null","0","null","12","null","25","null","31","null","106","67","null","null","25","38","null","null","0","null","12","null","56","null","45","null","114","null","69","null","26","null","28","null",
"1400000US17031420600","Census Tract 4206, Cook County, Illinois","647","167","null","null","10","14","null","null","30","null","30","null","17","null","27","null","91","null","76","null","92","null","63","null","33","null","36","null","168","76","null","null","10","17","null","null","26","null","32","null","76","null","61","null","50","null","43","null","44","null","52","null",
"1400000US17031420700","Census Tract 4207, Cook County, Illinois","735","202","null","null","0","12","null","null","12","null","21","null","53","null","57","null","63","null","45","null","128","null","77","null","0","null","12","null","75","59","null","null","47","57","null","null","9","null","14","null","176","null","95","null","125","null","92","null","47","null","59","null",
"1400000US17031420800","Census Tract 4208, Cook County, Illinois","944","226","null","null","23","22","null","null","21","null","23","null","79","null","58","null","117","null","69","null","105","null","52","null","12","null","14","null","105","70","null","null","54","45","null","null","107","null","120","null","153","null","78","null","107","null","56","null","61","null","36","null",
"1400000US17031421200","Census Tract 4212, Cook County, Illinois","794","723","null","null","0","12","null","null","0","null","12","null","50","null","41","null","7","null","12","null","155","null","194","null","0","null","12","null","483","531","null","null","0","12","null","null","0","null","12","null","47","null","43","null","46","null","47","null","6","null","9","null",
"1400000US17031430101","Census Tract 4301.01, Cook County, Illinois","1217","340","null","null","33","53","null","null","0","null","12","null","44","null","40","null","153","null","89","null","110","null","100","null","36","null","57","null","280","151","null","null","14","22","null","null","133","null","100","null","120","null","75","null","203","null","141","null","91","null","84","null",
"1400000US17031430102","Census Tract 4301.02, Cook County, Illinois","2023","491","null","null","0","12","null","null","83","null","92","null","33","null","54","null","53","null","50","null","539","null","434","null","46","null","55","null","419","225","null","null","18","28","null","null","182","null","106","null","331","null","152","null","199","null","126","null","120","null","83","null",
"1400000US17031430200","Census Tract 4302, Cook County, Illinois","2620","888","null","null","109","121","null","null","172","null","157","null","227","null","174","null","126","null","120","null","174","null","138","null","375","null","362","null","322","218","null","null","68","94","null","null","121","null","99","null","336","null","211","null","241","null","178","null","349","null","409","null",
"1400000US17031430300","Census Tract 4303, Cook County, Illinois","776","247","null","null","10","15","null","null","23","null","35","null","30","null","38","null","75","null","55","null","50","null","47","null","21","null","18","null","257","231","null","null","36","39","null","null","40","null","45","null","50","null","49","null","144","null","77","null","40","null","33","null",
"1400000US17031430400","Census Tract 4304, Cook County, Illinois","1235","309","null","null","0","12","null","null","0","null","12","null","108","null","78","null","26","null","29","null","42","null","49","null","145","null","133","null","166","98","null","null","0","12","null","null","36","null","46","null","267","null","147","null","344","null","196","null","101","null","72","null",
"1400000US17031430500","Census Tract 4305, Cook County, Illinois","1335","324","null","null","0","12","null","null","9","null","18","null","43","null","52","null","123","null","155","null","117","null","84","null","0","null","12","null","227","163","null","null","0","12","null","null","79","null","99","null","396","null","162","null","226","null","170","null","115","null","76","null",
