"GEO_ID","NAME","B08301_001E","B08301_001EA","B08301_001M","B08301_001MA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003EA","B08301_003M","B08301_003MA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006EA","B08301_006M","B08301_006MA","B08301_007E","B08301_007EA","B08301_007M","B08301_007MA","B08301_008E","B08301_008EA","B08301_008M","B08301_008MA","B08301_009E","B08301_009EA","B08301_009M","B08301_009MA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011M","B08301_011MA","B08301_011EA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013EA","B08301_013M","B08301_013MA","B08301_014E","B08301_014EA","B08301_014M","B08301_014MA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017EA","B08301_017M","B08301_017MA","B08301_018E","B08301_018M","B08301_018MA","B08301_018EA","B08301_019E","B08301_019EA","B08301_019M","B08301_019MA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"1400000US17031804809","Census Tract 8048.09, Cook County, Illinois","2358","null","340","null","1885","264","null","null","1682","null","259","null","203","null","91","null","116","null","63","null","62","null","64","null","25","null","36","null","0","null","12","null","0","null","12","null","131","null","63","null","37","40","null","null","0","12","null","null","94","null","54","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","0","null","12","null","59","65","null","null","283","null","154","null",
"1400000US17031804810","Census Tract 8048.10, Cook County, Illinois","3475","null","559","null","3028","559","null","null","2950","null","572","null","78","null","59","null","64","null","61","null","0","null","17","null","14","null","23","null","0","null","17","null","0","null","17","null","42","null","44","null","32","39","null","null","0","17","null","null","10","null","17","null","0","null","17","null","0","null","17","null","33","null","58","null","0","null","17","null","0","17","null","null","14","null","24","null","0","17","null","null","358","null","157","null",
"1400000US17031804901","Census Tract 8049.01, Cook County, Illinois","3229","null","316","null","2264","324","null","null","2159","null","309","null","105","null","82","null","47","null","55","null","58","null","61","null","0","null","17","null","0","null","17","null","0","null","17","null","401","null","136","null","0","17","null","null","14","24","null","null","387","null","138","null","0","null","17","null","0","null","17","null","5","null","10","null","0","null","17","null","21","33","null","null","20","null","25","null","26","30","null","null","492","null","159","null",
"1400000US17031804902","Census Tract 8049.02, Cook County, Illinois","3010","null","326","null","2379","329","null","null","2268","null","307","null","111","null","82","null","79","null","70","null","32","null","39","null","0","null","17","null","0","null","17","null","0","null","17","null","153","null","101","null","1","2","null","null","0","17","null","null","152","null","101","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","53","66","null","null","69","null","61","null","14","22","null","null","342","null","164","null",
"1400000US17031805001","Census Tract 8050.01, Cook County, Illinois","2528","null","322","null","1904","297","null","null","1823","null","285","null","81","null","53","null","75","null","50","null","6","null","10","null","0","null","12","null","0","null","12","null","0","null","12","null","163","null","70","null","8","13","null","null","16","23","null","null","139","null","65","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","22","26","null","null","20","null","22","null","15","18","null","null","404","null","163","null",
"1400000US17031805002","Census Tract 8050.02, Cook County, Illinois","3517","null","500","null","2817","484","null","null","2455","null","463","null","362","null","229","null","362","null","229","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","204","null","142","null","13","21","null","null","76","102","null","null","115","null","89","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","8","16","null","null","13","null","22","null","112","141","null","null","363","null","176","null",
"1400000US17031805105","Census Tract 8051.05, Cook County, Illinois","3934","null","374","null","3526","382","null","null","2972","null","536","null","554","null","273","null","211","null","137","null","323","null","270","null","0","null","17","null","20","null","35","null","0","null","17","null","60","null","64","null","0","17","null","null","22","35","null","null","38","null","51","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","52","82","null","null","182","null","111","null","0","17","null","null","114","null","89","null",
"1400000US17031805106","Census Tract 8051.06, Cook County, Illinois","1373","null","255","null","1071","227","null","null","998","null","221","null","73","null","54","null","58","null","50","null","15","null","19","null","0","null","12","null","0","null","12","null","0","null","12","null","80","null","40","null","14","21","null","null","0","12","null","null","66","null","38","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","12","null","null","34","null","33","null","34","26","null","null","154","null","146","null",
"1400000US17031805107","Census Tract 8051.07, Cook County, Illinois","3961","null","563","null","3308","547","null","null","2975","null","535","null","333","null","160","null","252","null","149","null","81","null","70","null","0","null","17","null","0","null","17","null","0","null","17","null","39","null","37","null","0","17","null","null","39","37","null","null","0","null","17","null","0","null","17","null","0","null","17","null","23","null","37","null","0","null","17","null","9","16","null","null","64","null","69","null","0","17","null","null","518","null","345","null",
"1400000US17031805108","Census Tract 8051.08, Cook County, Illinois","3748","null","554","null","2999","538","null","null","2760","null","533","null","239","null","164","null","211","null","158","null","28","null","46","null","0","null","17","null","0","null","17","null","0","null","17","null","363","null","196","null","159","143","null","null","77","96","null","null","127","null","101","null","0","null","17","null","0","null","17","null","0","null","17","null","0","null","17","null","16","26","null","null","50","null","41","null","86","98","null","null","234","null","145","null",
