"GEO_ID","NAME","B08301_001E","B08301_001M","B08301_001MA","B08301_001EA","B08301_002E","B08301_002M","B08301_002MA","B08301_002EA","B08301_003E","B08301_003M","B08301_003MA","B08301_003EA","B08301_004E","B08301_004EA","B08301_004M","B08301_004MA","B08301_005E","B08301_005EA","B08301_005M","B08301_005MA","B08301_006E","B08301_006M","B08301_006MA","B08301_006EA","B08301_007E","B08301_007M","B08301_007MA","B08301_007EA","B08301_008E","B08301_008M","B08301_008MA","B08301_008EA","B08301_009E","B08301_009M","B08301_009MA","B08301_009EA","B08301_010E","B08301_010EA","B08301_010M","B08301_010MA","B08301_011E","B08301_011EA","B08301_011M","B08301_011MA","B08301_012E","B08301_012M","B08301_012MA","B08301_012EA","B08301_013E","B08301_013M","B08301_013MA","B08301_013EA","B08301_014E","B08301_014M","B08301_014MA","B08301_014EA","B08301_015E","B08301_015EA","B08301_015M","B08301_015MA","B08301_016E","B08301_016EA","B08301_016M","B08301_016MA","B08301_017E","B08301_017M","B08301_017MA","B08301_017EA","B08301_018E","B08301_018EA","B08301_018M","B08301_018MA","B08301_019E","B08301_019M","B08301_019MA","B08301_019EA","B08301_020E","B08301_020M","B08301_020MA","B08301_020EA","B08301_021E","B08301_021EA","B08301_021M","B08301_021MA",
"1400000US17031802801","Census Tract 8028.01, Cook County, Illinois","2334","188","null","null","1890","194","null","null","1795","192","null","null","95","null","57","null","74","null","51","null","12","18","null","null","0","16","null","null","0","16","null","null","9","15","null","null","135","null","63","null","8","null","13","null","0","16","null","null","10","16","null","null","117","60","null","null","0","null","16","null","0","null","16","null","0","16","null","null","34","null","32","null","99","71","null","null","19","21","null","null","157","null","82","null",
"1400000US17031802802","Census Tract 8028.02, Cook County, Illinois","3188","279","null","null","2728","263","null","null","2645","274","null","null","83","null","70","null","83","null","70","null","0","16","null","null","0","16","null","null","0","16","null","null","0","16","null","null","294","null","138","null","81","null","70","null","0","16","null","null","0","16","null","null","213","96","null","null","0","null","16","null","0","null","16","null","0","16","null","null","0","null","16","null","87","60","null","null","0","16","null","null","79","null","54","null",
"1400000US17031802900","Census Tract 8029, Cook County, Illinois","2991","237","null","null","2611","273","null","null","2488","264","null","null","123","null","75","null","97","null","66","null","13","21","null","null","13","21","null","null","0","16","null","null","0","16","null","null","150","null","78","null","0","null","16","null","0","16","null","null","0","16","null","null","150","78","null","null","0","null","16","null","0","null","16","null","0","16","null","null","29","null","36","null","0","16","null","null","12","20","null","null","189","null","118","null",
"1400000US17031803005","Census Tract 8030.05, Cook County, Illinois","1439","147","null","null","1295","145","null","null","1267","145","null","null","28","null","32","null","28","null","32","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","54","null","39","null","0","null","11","null","0","11","null","null","0","11","null","null","54","39","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","36","29","null","null","0","11","null","null","54","null","41","null",
"1400000US17031803007","Census Tract 8030.07, Cook County, Illinois","2570","302","null","null","2227","304","null","null","2159","283","null","null","68","null","58","null","68","null","58","null","0","16","null","null","0","16","null","null","0","16","null","null","0","16","null","null","94","null","64","null","0","null","16","null","0","16","null","null","28","39","null","null","66","53","null","null","0","null","16","null","0","null","16","null","0","16","null","null","17","null","29","null","18","29","null","null","12","18","null","null","202","null","108","null",
"1400000US17031803008","Census Tract 8030.08, Cook County, Illinois","2223","194","null","null","1992","196","null","null","1877","178","null","null","115","null","72","null","104","null","72","null","11","16","null","null","0","11","null","null","0","11","null","null","0","11","null","null","129","null","69","null","0","null","11","null","0","11","null","null","48","58","null","null","81","40","null","null","0","null","11","null","0","null","11","null","7","10","null","null","9","null","14","null","28","27","null","null","0","11","null","null","58","null","31","null",
"1400000US17031803010","Census Tract 8030.10, Cook County, Illinois","2467","179","null","null","2116","150","null","null","2072","152","null","null","44","null","39","null","44","null","39","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","58","null","41","null","0","null","11","null","0","11","null","null","21","25","null","null","37","33","null","null","0","null","11","null","0","null","11","null","0","11","null","null","14","null","23","null","24","21","null","null","20","30","null","null","235","null","115","null",
"1400000US17031803012","Census Tract 8030.12, Cook County, Illinois","1375","136","null","null","1256","158","null","null","1197","150","null","null","59","null","61","null","59","null","61","null","0","11","null","null","0","11","null","null","0","11","null","null","0","11","null","null","34","null","36","null","19","null","30","null","0","11","null","null","0","11","null","null","15","18","null","null","0","null","11","null","40","null","56","null","0","11","null","null","0","null","11","null","10","17","null","null","0","11","null","null","35","null","31","null",
"1400000US17031803013","Census Tract 8030.13, Cook County, Illinois","2747","263","null","null","2430","261","null","null","2337","252","null","null","93","null","63","null","59","null","51","null","34","39","null","null","0","16","null","null","0","16","null","null","0","16","null","null","113","null","84","null","0","null","16","null","0","16","null","null","15","20","null","null","98","82","null","null","0","null","16","null","0","null","16","null","0","16","null","null","7","null","12","null","0","16","null","null","0","16","null","null","197","null","132","null",
"1400000US17031803014","Census Tract 8030.14, Cook County, Illinois","2095","215","null","null","1974","225","null","null","1807","208","null","null","167","null","106","null","75","null","59","null","92","75","null","null","0","11","null","null","0","11","null","null","0","11","null","null","35","null","45","null","0","null","11","null","0","11","null","null","14","21","null","null","21","32","null","null","0","null","11","null","0","null","11","null","0","11","null","null","0","null","11","null","0","11","null","null","20","30","null","null","66","null","51","null",
