"GEO_ID","NAME","B25077_001E","B25077_001M","B25077_001MA","B25077_001EA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)",
"1400000US17031140302","Census Tract 1403.02, Cook County, Illinois","289200","51005","null","null",
"1400000US17031140400","Census Tract 1404, Cook County, Illinois","338900","28435","null","null",
"1400000US17031140500","Census Tract 1405, Cook County, Illinois","348300","25227","null","null",
"1400000US17031140601","Census Tract 1406.01, Cook County, Illinois","391500","34487","null","null",
"1400000US17031140602","Census Tract 1406.02, Cook County, Illinois","275700","35009","null","null",
"1400000US17031140701","Census Tract 1407.01, Cook County, Illinois","330200","48408","null","null",
"1400000US17031140702","Census Tract 1407.02, Cook County, Illinois","322400","57231","null","null",
"1400000US17031140800","Census Tract 1408, Cook County, Illinois","615600","50651","null","null",
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","358100","23903","null","null",
"1400000US17031150300","Census Tract 1503, Cook County, Illinois","325600","23491","null","null",
"1400000US17031150401","Census Tract 1504.01, Cook County, Illinois","279100","25190","null","null",
"1400000US17031150402","Census Tract 1504.02, Cook County, Illinois","342400","17819","null","null",
"1400000US17031150501","Census Tract 1505.01, Cook County, Illinois","292200","14561","null","null",
"1400000US17031150502","Census Tract 1505.02, Cook County, Illinois","320600","26191","null","null",
"1400000US17031150600","Census Tract 1506, Cook County, Illinois","334100","23339","null","null",
"1400000US17031150700","Census Tract 1507, Cook County, Illinois","326800","18981","null","null",
"1400000US17031150800","Census Tract 1508, Cook County, Illinois","315200","22198","null","null",
"1400000US17031151001","Census Tract 1510.01, Cook County, Illinois","312200","33013","null","null",
"1400000US17031151002","Census Tract 1510.02, Cook County, Illinois","322300","15003","null","null",
"1400000US17031151100","Census Tract 1511, Cook County, Illinois","303700","23828","null","null",
"1400000US17031151200","Census Tract 1512, Cook County, Illinois","301200","22747","null","null",
"1400000US17031160100","Census Tract 1601, Cook County, Illinois","366600","25242","null","null",
"1400000US17031160200","Census Tract 1602, Cook County, Illinois","514000","61939","null","null",
"1400000US17031160300","Census Tract 1603, Cook County, Illinois","189900","26129","null","null",
"1400000US17031160400","Census Tract 1604, Cook County, Illinois","447500","73106","null","null",
"1400000US17031160501","Census Tract 1605.01, Cook County, Illinois","280400","70397","null","null",
"1400000US17031160502","Census Tract 1605.02, Cook County, Illinois","343000","33109","null","null",
"1400000US17031160601","Census Tract 1606.01, Cook County, Illinois","281900","21596","null","null",
"1400000US17031160602","Census Tract 1606.02, Cook County, Illinois","329400","65738","null","null",
"1400000US17031160700","Census Tract 1607, Cook County, Illinois","517500","126842","null","null",
"1400000US17031160800","Census Tract 1608, Cook County, Illinois","374400","29987","null","null",
"1400000US17031160900","Census Tract 1609, Cook County, Illinois","452900","32543","null","null",
"1400000US17031161000","Census Tract 1610, Cook County, Illinois","581100","60567","null","null",
"1400000US17031161100","Census Tract 1611, Cook County, Illinois","565800","59280","null","null",
"1400000US17031161200","Census Tract 1612, Cook County, Illinois","313800","33904","null","null",
"1400000US17031161300","Census Tract 1613, Cook County, Illinois","310600","46049","null","null",
"1400000US17031170100","Census Tract 1701, Cook County, Illinois","218200","8083","null","null",
"1400000US17031170200","Census Tract 1702, Cook County, Illinois","280700","11614","null","null",
"1400000US17031170300","Census Tract 1703, Cook County, Illinois","289600","17769","null","null",
"1400000US17031170400","Census Tract 1704, Cook County, Illinois","282000","18612","null","null",
"1400000US17031170500","Census Tract 1705, Cook County, Illinois","279000","16122","null","null",
"1400000US17031170600","Census Tract 1706, Cook County, Illinois","284300","13103","null","null",
"1400000US17031170700","Census Tract 1707, Cook County, Illinois","279500","29789","null","null",
"1400000US17031170800","Census Tract 1708, Cook County, Illinois","275900","10697","null","null",
"1400000US17031170900","Census Tract 1709, Cook County, Illinois","263900","22291","null","null",
"1400000US17031171000","Census Tract 1710, Cook County, Illinois","322000","20206","null","null",
"1400000US17031171100","Census Tract 1711, Cook County, Illinois","280300","14697","null","null",
"1400000US17031180100","Census Tract 1801, Cook County, Illinois","266100","13823","null","null",
"1400000US17031190100","Census Tract 1901, Cook County, Illinois","292700","41566","null","null",
"1400000US17031190200","Census Tract 1902, Cook County, Illinois","298400","23111","null","null",
"1400000US17031190300","Census Tract 1903, Cook County, Illinois","290700","23387","null","null",
"1400000US17031190401","Census Tract 1904.01, Cook County, Illinois","297100","35523","null","null",
"1400000US17031190402","Census Tract 1904.02, Cook County, Illinois","265500","11992","null","null",
"1400000US17031190601","Census Tract 1906.01, Cook County, Illinois","247800","24725","null","null",
"1400000US17031190602","Census Tract 1906.02, Cook County, Illinois","253700","20408","null","null",
"1400000US17031190701","Census Tract 1907.01, Cook County, Illinois","260800","61730","null","null",
"1400000US17031190702","Census Tract 1907.02, Cook County, Illinois","247800","40876","null","null",
"1400000US17031190800","Census Tract 1908, Cook County, Illinois","282700","26332","null","null",
"1400000US17031190900","Census Tract 1909, Cook County, Illinois","288800","27202","null","null",
"1400000US17031191000","Census Tract 1910, Cook County, Illinois","272700","28642","null","null",
"1400000US17031191100","Census Tract 1911, Cook County, Illinois","257900","28919","null","null",
"1400000US17031191200","Census Tract 1912, Cook County, Illinois","244100","31510","null","null",
"1400000US17031191301","Census Tract 1913.01, Cook County, Illinois","256000","23422","null","null",
"1400000US17031191302","Census Tract 1913.02, Cook County, Illinois","247200","18747","null","null",
"1400000US17031200100","Census Tract 2001, Cook County, Illinois","291900","32236","null","null",
"1400000US17031200200","Census Tract 2002, Cook County, Illinois","306600","25816","null","null",
"1400000US17031200300","Census Tract 2003, Cook County, Illinois","259400","21294","null","null",
"1400000US17031200401","Census Tract 2004.01, Cook County, Illinois","247800","37088","null","null",
"1400000US17031200402","Census Tract 2004.02, Cook County, Illinois","252900","24971","null","null",
"1400000US17031210100","Census Tract 2101, Cook County, Illinois","396800","46858","null","null",
"1400000US17031210400","Census Tract 2104, Cook County, Illinois","302400","33684","null","null",
"1400000US17031210501","Census Tract 2105.01, Cook County, Illinois","377800","57279","null","null",
"1400000US17031210502","Census Tract 2105.02, Cook County, Illinois","382300","55313","null","null",
"1400000US17031210601","Census Tract 2106.01, Cook County, Illinois","440200","50701","null","null",
"1400000US17031210602","Census Tract 2106.02, Cook County, Illinois","380400","46505","null","null",
"1400000US17031210700","Census Tract 2107, Cook County, Illinois","528400","58368","null","null",
"1400000US17031210800","Census Tract 2108, Cook County, Illinois","443000","58701","null","null",
"1400000US17031210900","Census Tract 2109, Cook County, Illinois","485900","75032","null","null",
"1400000US17031220300","Census Tract 2203, Cook County, Illinois","435400","102793","null","null",
"1400000US17031220400","Census Tract 2204, Cook County, Illinois","587600","62008","null","null",
"1400000US17031220500","Census Tract 2205, Cook County, Illinois","463700","59691","null","null",
"1400000US17031220601","Census Tract 2206.01, Cook County, Illinois","452500","48289","null","null",
"1400000US17031220602","Census Tract 2206.02, Cook County, Illinois","434900","96565","null","null",
"1400000US17031220701","Census Tract 2207.01, Cook County, Illinois","396600","51994","null","null",
"1400000US17031220702","Census Tract 2207.02, Cook County, Illinois","479200","66384","null","null",
"1400000US17031220901","Census Tract 2209.01, Cook County, Illinois","358400","38555","null","null",
"1400000US17031220902","Census Tract 2209.02, Cook County, Illinois","441200","20465","null","null",
"1400000US17031221000","Census Tract 2210, Cook County, Illinois","348300","42004","null","null",
"1400000US17031221100","Census Tract 2211, Cook County, Illinois","363400","25119","null","null",
"1400000US17031221200","Census Tract 2212, Cook County, Illinois","392500","57407","null","null",
"1400000US17031221300","Census Tract 2213, Cook County, Illinois","577900","121659","null","null",
"1400000US17031221400","Census Tract 2214, Cook County, Illinois","538200","151775","null","null",
"1400000US17031221500","Census Tract 2215, Cook County, Illinois","527200","129808","null","null",
"1400000US17031221600","Census Tract 2216, Cook County, Illinois","634500","64233","null","null",
"1400000US17031222200","Census Tract 2222, Cook County, Illinois","750000","100451","null","null",
"1400000US17031222500","Census Tract 2225, Cook County, Illinois","532100","102109","null","null",
"1400000US17031222600","Census Tract 2226, Cook County, Illinois","450000","124817","null","null",
"1400000US17031222700","Census Tract 2227, Cook County, Illinois","347200","52408","null","null",
"1400000US17031222800","Census Tract 2228, Cook County, Illinois","311100","177446","null","null",
"1400000US17031222900","Census Tract 2229, Cook County, Illinois","353100","35572","null","null",
