"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"1400000US17031140800","Census Tract 1408, Cook County, Illinois","466700","null","60726","null",
"1400000US17031150200","Census Tract 1502, Cook County, Illinois","325200","null","17041","null",
"1400000US17031150300","Census Tract 1503, Cook County, Illinois","314000","null","21550","null",
"1400000US17031150401","Census Tract 1504.01, Cook County, Illinois","266100","null","20406","null",
"1400000US17031150402","Census Tract 1504.02, Cook County, Illinois","292700","null","20067","null",
"1400000US17031150501","Census Tract 1505.01, Cook County, Illinois","242200","null","12872","null",
"1400000US17031150502","Census Tract 1505.02, Cook County, Illinois","241900","null","13104","null",
"1400000US17031150600","Census Tract 1506, Cook County, Illinois","262800","null","16856","null",
"1400000US17031150700","Census Tract 1507, Cook County, Illinois","251800","null","18172","null",
"1400000US17031150800","Census Tract 1508, Cook County, Illinois","284300","null","26190","null",
"1400000US17031151001","Census Tract 1510.01, Cook County, Illinois","262600","null","19763","null",
"1400000US17031151002","Census Tract 1510.02, Cook County, Illinois","287400","null","38339","null",
"1400000US17031151100","Census Tract 1511, Cook County, Illinois","270400","null","20909","null",
"1400000US17031151200","Census Tract 1512, Cook County, Illinois","266300","null","15501","null",
"1400000US17031160100","Census Tract 1601, Cook County, Illinois","317100","null","30212","null",
"1400000US17031160200","Census Tract 1602, Cook County, Illinois","380900","null","43260","null",
"1400000US17031160300","Census Tract 1603, Cook County, Illinois","159900","null","11516","null",
"1400000US17031160400","Census Tract 1604, Cook County, Illinois","297700","null","36899","null",
"1400000US17031160501","Census Tract 1605.01, Cook County, Illinois","280600","null","71829","null",
"1400000US17031160502","Census Tract 1605.02, Cook County, Illinois","266100","null","22579","null",
"1400000US17031160601","Census Tract 1606.01, Cook County, Illinois","251500","null","28960","null",
"1400000US17031160602","Census Tract 1606.02, Cook County, Illinois","284300","null","75636","null",
"1400000US17031160700","Census Tract 1607, Cook County, Illinois","288300","null","54895","null",
"1400000US17031160800","Census Tract 1608, Cook County, Illinois","285200","null","29401","null",
"1400000US17031160900","Census Tract 1609, Cook County, Illinois","388400","null","47714","null",
"1400000US17031161000","Census Tract 1610, Cook County, Illinois","482700","null","78334","null",
