"GEO_ID","NAME","B25031_001E","B25031_001EA","B25031_001M","B25031_001MA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007EA","B25031_007M","B25031_007MA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","1694","null","195","null","1241","350","null","null","1475","159","null","null","2410","356","null","null","3,500+","3,500+","***","***","-","-","**","**","-","-","**","**",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","1733","null","156","null","1135","117","null","null","1474","128","null","null","2011","231","null","null","2348","null","179","null","2352","null","791","null","-","-","**","**",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","1872","null","226","null","-","**","**","-","1358","184","null","null","2023","213","null","null","3174","null","273","null","3286","null","1278","null","-","-","**","**",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","1996","null","256","null","-","**","**","-","1300","142","null","null","2070","182","null","null","2926","null","758","null","-","-","**","**","-","-","**","**",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","2131","null","181","null","-","**","**","-","1597","388","null","null","1986","192","null","null","2458","null","832","null","-","-","**","**","-","-","**","**",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","2000","null","488","null","-","**","**","-","1395","228","null","null","2599","368","null","null","2219","null","1080","null","-","-","**","**","-","-","**","**",
"1400000US17031062500","Census Tract 625, Cook County, Illinois","2293","null","337","null","-","**","**","-","2380","347","null","null","2058","323","null","null","2868","null","518","null","-","-","**","**","-","-","**","**",
"1400000US17031062600","Census Tract 626, Cook County, Illinois","1855","null","153","null","1300","334","null","null","1456","179","null","null","1904","167","null","null","2276","null","277","null","-","-","**","**","-","-","**","**",
"1400000US17031062700","Census Tract 627, Cook County, Illinois","1822","null","194","null","979","446","null","null","1000","551","null","null","1913","309","null","null","2712","null","405","null","-","-","**","**","-","-","**","**",
"1400000US17031062800","Census Tract 628, Cook County, Illinois","2177","null","210","null","-","**","**","-","1700","78","null","null","2234","171","null","null","2630","null","154","null","3,500+","3,500+","***","***","-","-","**","**",
"1400000US17031062900","Census Tract 629, Cook County, Illinois","1818","null","131","null","1220","182","null","null","1686","159","null","null","2130","223","null","null","2517","null","1275","null","-","-","**","**","-","-","**","**",
"1400000US17031063000","Census Tract 630, Cook County, Illinois","1678","null","117","null","1194","120","null","null","1594","143","null","null","1936","211","null","null","2811","null","173","null","-","-","**","**","-","-","**","**",
"1400000US17031063100","Census Tract 631, Cook County, Illinois","1586","null","170","null","1000","86","null","null","1439","130","null","null","2204","157","null","null","3242","null","994","null","-","-","**","**","-","-","**","**",
"1400000US17031063200","Census Tract 632, Cook County, Illinois","1667","null","112","null","1100","115","null","null","1749","70","null","null","2611","357","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031063301","Census Tract 633.01, Cook County, Illinois","1389","null","78","null","1183","68","null","null","1354","78","null","null","2195","147","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031063302","Census Tract 633.02, Cook County, Illinois","1611","null","97","null","1301","115","null","null","1663","52","null","null","2235","71","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031063303","Census Tract 633.03, Cook County, Illinois","1980","null","243","null","1750","62","null","null","2114","394","null","null","2339","944","null","null","-","-","**","**","-","-","**","**","-","-","**","**",
"1400000US17031063400","Census Tract 634, Cook County, Illinois","1820","null","235","null","1121","66","null","null","1330","175","null","null","2143","291","null","null","3069","null","805","null","-","-","**","**","-","-","**","**",
