"GEO_ID","NAME","B25031_001E","B25031_001EA","B25031_001M","B25031_001MA","B25031_002E","B25031_002EA","B25031_002M","B25031_002MA","B25031_003E","B25031_003EA","B25031_003M","B25031_003MA","B25031_004E","B25031_004EA","B25031_004M","B25031_004MA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Annotation of Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Annotation of Margin of Error!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!No bedroom","Annotation of Estimate!!Median gross rent!!Total!!No bedroom","Margin of Error!!Median gross rent!!Total!!No bedroom","Annotation of Margin of Error!!Median gross rent!!Total!!No bedroom","Estimate!!Median gross rent!!Total!!1 bedroom","Annotation of Estimate!!Median gross rent!!Total!!1 bedroom","Margin of Error!!Median gross rent!!Total!!1 bedroom","Annotation of Margin of Error!!Median gross rent!!Total!!1 bedroom","Estimate!!Median gross rent!!Total!!2 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!2 bedrooms","Margin of Error!!Median gross rent!!Total!!2 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!2 bedrooms","Estimate!!Median gross rent!!Total!!3 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!3 bedrooms","Margin of Error!!Median gross rent!!Total!!3 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!3 bedrooms","Estimate!!Median gross rent!!Total!!4 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!4 bedrooms","Margin of Error!!Median gross rent!!Total!!4 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!4 bedrooms","Estimate!!Median gross rent!!Total!!5 or more bedrooms","Margin of Error!!Median gross rent!!Total!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!5 or more bedrooms","Annotation of Estimate!!Median gross rent!!Total!!5 or more bedrooms",
"1400000US17031243200","Census Tract 2432, Cook County, Illinois","1256","null","121","null","-","-","**","**","1079","null","81","null","1284","null","163","null","1225","null","370","null","1421","null","252","null","-","**","**","-",
"1400000US17031243300","Census Tract 2433, Cook County, Illinois","1290","null","80","null","-","-","**","**","1191","null","115","null","1284","null","107","null","1584","null","205","null","-","-","**","**","-","**","**","-",
"1400000US17031243400","Census Tract 2434, Cook County, Illinois","1265","null","161","null","1063","null","633","null","1250","null","225","null","1331","null","80","null","1029","null","847","null","-","-","**","**","-","**","**","-",
"1400000US17031243500","Census Tract 2435, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031250200","Census Tract 2502, Cook County, Illinois","960","null","54","null","-","-","**","**","645","null","264","null","966","null","47","null","1083","null","476","null","-","-","**","**","1396","474","null","null",
"1400000US17031250300","Census Tract 2503, Cook County, Illinois","916","null","85","null","-","-","**","**","711","null","50","null","882","null","70","null","1050","null","87","null","2105","null","323","null","-","**","**","-",
"1400000US17031250400","Census Tract 2504, Cook County, Illinois","907","null","61","null","-","-","**","**","886","null","70","null","846","null","125","null","1200","null","164","null","-","-","**","**","-","**","**","-",
"1400000US17031250500","Census Tract 2505, Cook County, Illinois","871","null","208","null","-","-","**","**","688","null","90","null","1086","null","206","null","-","-","**","**","-","-","**","**","-","**","**","-",
"1400000US17031250600","Census Tract 2506, Cook County, Illinois","1039","null","97","null","-","-","**","**","-","-","**","**","1062","null","98","null","1076","null","188","null","1021","null","330","null","-","**","**","-",
"1400000US17031250700","Census Tract 2507, Cook County, Illinois","938","null","60","null","-","-","**","**","882","null","77","null","924","null","70","null","1052","null","109","null","1158","null","727","null","-","**","**","-",
"1400000US17031250800","Census Tract 2508, Cook County, Illinois","913","null","134","null","-","-","**","**","-","-","**","**","873","null","117","null","1111","null","165","null","-","-","**","**","-","**","**","-",
"1400000US17031251000","Census Tract 2510, Cook County, Illinois","884","null","215","null","-","-","**","**","-","-","**","**","862","null","144","null","1188","null","291","null","-","-","**","**","-","**","**","-",
"1400000US17031251100","Census Tract 2511, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031251200","Census Tract 2512, Cook County, Illinois","988","null","239","null","-","-","**","**","-","-","**","**","796","null","88","null","1080","null","192","null","-","-","**","**","2056","211","null","null",
"1400000US17031251300","Census Tract 2513, Cook County, Illinois","967","null","123","null","-","-","**","**","830","null","58","null","867","null","40","null","1166","null","68","null","1545","null","700","null","-","**","**","-",
"1400000US17031251400","Census Tract 2514, Cook County, Illinois","808","null","87","null","237","null","34","null","614","null","167","null","957","null","45","null","1136","null","258","null","-","-","**","**","-","**","**","-",
"1400000US17031251500","Census Tract 2515, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031251600","Census Tract 2516, Cook County, Illinois","919","null","123","null","696","null","294","null","-","-","**","**","888","null","273","null","968","null","153","null","883","null","266","null","-","**","**","-",
"1400000US17031251700","Census Tract 2517, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031251800","Census Tract 2518, Cook County, Illinois","917","null","118","null","-","-","**","**","431","null","206","null","859","null","70","null","1091","null","67","null","1087","null","223","null","-","**","**","-",
"1400000US17031251900","Census Tract 2519, Cook County, Illinois","813","null","75","null","537","null","17","null","647","null","81","null","900","null","85","null","959","null","161","null","1145","null","183","null","-","**","**","-",
"1400000US17031252000","Census Tract 2520, Cook County, Illinois","808","null","74","null","607","null","306","null","742","null","34","null","924","null","54","null","1062","null","125","null","1134","null","272","null","-","**","**","-",
"1400000US17031252101","Census Tract 2521.01, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
