"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_001MA","B25031_001EA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031411200","Census Tract 4112, Cook County, Illinois","1381","49","null","null","1513","805","null","null","1306","53","null","null","1500","229","null","null","1402","null","138","null","2328","null","220","null","-","**","**","-",
"1400000US17031420100","Census Tract 4201, Cook County, Illinois","816","93","null","null","487","459","null","null","364","39","null","null","951","44","null","null","872","null","109","null","-","-","**","**","-","**","**","-",
"1400000US17031420200","Census Tract 4202, Cook County, Illinois","983","157","null","null","-","**","**","-","-","**","**","-","893","398","null","null","1288","null","460","null","1607","null","549","null","-","**","**","-",
"1400000US17031420300","Census Tract 4203, Cook County, Illinois","1000","113","null","null","805","86","null","null","819","61","null","null","1192","100","null","null","1309","null","153","null","1466","null","675","null","-","**","**","-",
"1400000US17031420400","Census Tract 4204, Cook County, Illinois","844","102","null","null","762","226","null","null","389","303","null","null","1138","131","null","null","821","null","255","null","-","-","**","**","-","**","**","-",
"1400000US17031420500","Census Tract 4205, Cook County, Illinois","921","153","null","null","-","**","**","-","728","74","null","null","998","78","null","null","1260","null","145","null","-","-","**","**","-","**","**","-",
"1400000US17031420600","Census Tract 4206, Cook County, Illinois","905","101","null","null","813","788","null","null","717","437","null","null","849","117","null","null","1129","null","175","null","-","-","**","**","-","**","**","-",
"1400000US17031420700","Census Tract 4207, Cook County, Illinois","1045","101","null","null","837","35","null","null","727","365","null","null","1007","123","null","null","1115","null","115","null","1199","null","605","null","-","**","**","-",
"1400000US17031420800","Census Tract 4208, Cook County, Illinois","1152","74","null","null","-","**","**","-","807","83","null","null","1178","146","null","null","1174","null","132","null","1171","null","78","null","-","**","**","-",
"1400000US17031421200","Census Tract 4212, Cook County, Illinois","636","251","null","null","-","**","**","-","407","78","null","null","809","368","null","null","1362","null","226","null","-","-","**","**","-","**","**","-",
"1400000US17031430101","Census Tract 4301.01, Cook County, Illinois","1034","91","null","null","748","275","null","null","824","104","null","null","1050","103","null","null","1223","null","151","null","-","-","**","**","-","**","**","-",
"1400000US17031430102","Census Tract 4301.02, Cook County, Illinois","753","55","null","null","649","74","null","null","747","79","null","null","877","175","null","null","1481","null","243","null","-","-","**","**","-","**","**","-",
