"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_001MA","B25031_001EA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005M","B25031_005MA","B25031_005EA","B25031_006E","B25031_006M","B25031_006MA","B25031_006EA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031031501","Census Tract 315.01, Cook County, Illinois","864","304","null","null","724","182","null","null","1079","480","null","null","1306","389","null","null","280","277","null","null","-","**","**","-","-","**","**","-",
"1400000US17031031502","Census Tract 315.02, Cook County, Illinois","880","61","null","null","830","65","null","null","951","184","null","null","1057","233","null","null","860","252","null","null","-","**","**","-","-","**","**","-",
"1400000US17031031700","Census Tract 317, Cook County, Illinois","1090","122","null","null","729","53","null","null","1071","94","null","null","1523","161","null","null","1720","1196","null","null","-","**","**","-","-","**","**","-",
"1400000US17031031800","Census Tract 318, Cook County, Illinois","1226","78","null","null","1122","66","null","null","1129","222","null","null","1449","150","null","null","1683","563","null","null","-","**","**","-","-","**","**","-",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","1306","80","null","null","1072","118","null","null","1302","76","null","null","1526","288","null","null","1926","401","null","null","-","**","**","-","-","**","**","-",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","1174","169","null","null","967","93","null","null","1069","272","null","null","2120","164","null","null","2401","420","null","null","-","**","**","-","-","**","**","-",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","1388","153","null","null","-","**","**","-","1183","48","null","null","1776","59","null","null","2016","329","null","null","-","**","**","-","-","**","**","-",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","1394","117","null","null","1010","995","null","null","1089","30","null","null","1564","223","null","null","1867","269","null","null","-","**","**","-","-","**","**","-",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","1231","88","null","null","729","617","null","null","1016","70","null","null","1430","109","null","null","1598","198","null","null","-","**","**","-","-","**","**","-",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","1368","99","null","null","-","**","**","-","-","**","**","-","1357","87","null","null","1583","262","null","null","-","**","**","-","-","**","**","-",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","1586","151","null","null","-","**","**","-","1351","56","null","null","1709","110","null","null","1722","411","null","null","-","**","**","-","-","**","**","-",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","1347","67","null","null","1039","96","null","null","1291","74","null","null","1586","168","null","null","1750","120","null","null","-","**","**","-","-","**","**","-",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","1470","122","null","null","1189","151","null","null","1197","103","null","null","1643","114","null","null","2114","232","null","null","-","**","**","-","-","**","**","-",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","1427","106","null","null","1045","220","null","null","1141","141","null","null","1667","130","null","null","1831","380","null","null","-","**","**","-","-","**","**","-",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","1356","63","null","null","928","135","null","null","1297","97","null","null","1687","67","null","null","1759","112","null","null","-","**","**","-","-","**","**","-",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","1148","83","null","null","921","142","null","null","1178","70","null","null","1454","83","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","1461","81","null","null","-","**","**","-","991","264","null","null","1538","142","null","null","2104","416","null","null","-","**","**","-","-","**","**","-",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","1376","153","null","null","-","**","**","-","1136","307","null","null","1698","280","null","null","1539","263","null","null","-","**","**","-","-","**","**","-",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","1441","328","null","null","-","**","**","-","1479","1275","null","null","1326","347","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","1503","297","null","null","-","**","**","-","1373","172","null","null","1565","435","null","null","2128","312","null","null","-","**","**","-","-","**","**","-",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","1557","222","null","null","-","**","**","-","1298","421","null","null","1688","221","null","null","1930","361","null","null","-","**","**","-","-","**","**","-",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","1560","700","null","null","-","**","**","-","1240","321","null","null","1507","1047","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","1601","250","null","null","-","**","**","-","1175","89","null","null","1711","190","null","null","2354","369","null","null","-","**","**","-","-","**","**","-",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","1530","255","null","null","-","**","**","-","1105","165","null","null","1766","145","null","null","2100","283","null","null","-","**","**","-","-","**","**","-",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","1837","149","null","null","-","**","**","-","1250","324","null","null","1991","234","null","null","1939","1125","null","null","-","**","**","-","-","**","**","-",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","1226","262","null","null","-","**","**","-","1101","86","null","null","1391","326","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","1785","137","null","null","-","**","**","-","1431","139","null","null","1766","108","null","null","2567","437","null","null","-","**","**","-","-","**","**","-",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","2223","769","null","null","-","**","**","-","-","**","**","-","1696","749","null","null","2932","720","null","null","-","**","**","-","-","**","**","-",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","1534","245","null","null","-","**","**","-","1489","312","null","null","1651","239","null","null","1136","799","null","null","-","**","**","-","-","**","**","-",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","1571","239","null","null","-","**","**","-","1271","134","null","null","2036","284","null","null","1568","314","null","null","-","**","**","-","-","**","**","-",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","1392","79","null","null","853","104","null","null","1339","69","null","null","1813","154","null","null","1935","407","null","null","-","**","**","-","-","**","**","-",
"1400000US17031060300","Census Tract 603, Cook County, Illinois","1566","175","null","null","-","**","**","-","1479","275","null","null","1630","174","null","null","1403","495","null","null","-","**","**","-","-","**","**","-",
