year,census_tract,f0_
2014,17031832100,38537
2014,17031070400,59454
2014,17031030101,4456
2014,17031030800,20107
2014,17031030500,14498
2014,17031830800,11772
2014,17031051300,11081
2014,17031243300,26075
2014,17031040201,14255
2014,17031242600,14334
2014,17031221300,22137
2014,17031161000,1071
2014,17031061800,12501
2014,17031210100,7108
2014,17031140602,317
2014,17031140301,1992
2014,17031200402,25
2014,17031240900,3380
2014,17031283800,2884
2014,17031833300,10686
2014,17031220601,1654
2014,17031243400,29518
2014,17031410600,320
2014,17031210900,4136
2014,17031351500,15
2014,17031839700,688
2014,17031282800,299
2014,17031030702,576
2014,17031150300,352
2014,17031210800,341
2014,17031240700,759
2014,17031810400,600
2014,17031110502,613
2014,17031630400,1
2014,17031690900,2
2014,17031390200,9
2014,17031390600,186
2014,17031836300,38
2014,17031090200,289
2014,17031151200,23
2014,17031840100,24
2014,17031760803,29
2013,17031081401,380925
2014,17031840400,26
2014,17031100500,109
2014,17031171000,28
2014,17031430101,4
2014,17031222800,17
2014,17031831400,19
2014,17031171100,5
2013,17031980100,185983
2013,17031070200,76841
2013,17031080400,34637
2013,17031061000,30266
2013,17031340500,2429
2013,17031080202,104293
2013,17031838300,15969
2013,17031081402,213336
2013,17031842300,97171
2013,17031240300,29496
2013,17031221400,6208
2013,17031220400,3157
2013,17031060400,22561
2013,17031242400,8582
2013,17031030800,10678
2013,17031060200,2573
2013,17031411200,2415
2013,17031030102,833
2013,17031040202,1676
2013,17031063100,28031
2013,17031062500,14193
2013,17031310300,963
2015,17031770700,61287
2013,17031040600,5390
2013,17031051300,5978
2013,17031062400,9338
2013,17031340600,2507
2013,17031030706,2151
2013,17031831800,272
2013,17031280400,1065
2013,17031240900,2745
2013,17031050500,6985
2013,17031010501,558
2013,17031140602,88
2013,17031282700,73
2015,17031243500,85307
2015,17031832000,58924
2015,17031081401,525502
2015,17031980100,260120
2015,17031221600,10530
2016,17031060400,19128
2016,17031080300,186173
2016,17031080201,74993
2016,17031240500,15827
2015,17031070200,81054
2015,17031310300,991
2015,17031832300,33315
2015,17031020802,489
2015,17031032100,48963
2015,17031060100,10803
2015,17031340600,2215
2015,17031063301,27171
2015,17031030900,6431
2015,17031150200,685
2013,17031230900,319
2013,17031010100,86
2013,17031020901,324
2013,17031160602,979
2013,17031840200,54
2013,17031230600,12
2013,17031010702,374
2013,17031150401,24
2013,17031020902,277
2017,17031062200,12036
2018,17031841100,13879
2018,17031081800,556595
2017,17031243300,9819
2015,17031010501,875
2017,17031081500,847466
2018,17031320100,1134664
2016,17031980100,238062
2018,17031081600,267248
2015,17031010201,283
2018,17031832000,12100
2018,17031280100,487921
2016,17031842300,124098
2018,17031071400,69473
2016,17031140200,402
2016,17031833000,416686
2017,17031070600,10734
2015,17031310200,952
2017,17031081800,635926
2018,17031080300,104791
2018,17031081202,146760
2016,17031833100,192500
2017,17031330200,15532
2017,17031832300,10163
2017,17031080100,159453
2016,17031243500,84528
2016,17031071800,29135
2018,17031080201,50137
2016,17031838100,63106
2018,17031081000,133161
2018,17031080100,135637
2017,17031081000,155020
2016,17031030800,10573
2017,17031080201,62153
2017,17031062800,14947
2017,17031838200,37217
2018,17031810400,338
2016,17031830700,15086
2017,17031060100,2936
2015,17031160602,1487
2018,17031081900,18422
2016,17031062000,46288
2017,17031061100,12639
2018,17031070400,9606
2015,17031071600,12527
2017,17031833300,3977
2017,17031760801,4636
2018,17031031400,16119
2016,17031062700,17373
2017,17031060800,15673
2015,17031640100,17
2016,17031832000,41147
2015,17031220602,7434
2015,17031160200,536
2015,17031841200,161
2018,17031060400,4543
2015,17031221200,2305
2018,17031063200,25197
2017,17031071800,19319
2018,17031061100,9587
2016,17031071600,11543
2016,17031220500,5687
2016,17031062800,26459
2016,17031071000,27299
2016,17031242800,904
2018,17031071700,3926
2016,17031070700,10336
2016,17031240600,1153
2017,17031838300,16483
2016,17031830600,4415
2018,17031832200,4116
2018,17031062400,1048
2016,17031020802,627
2016,17031051400,1714
2016,17031839200,2997
2016,17031283800,1777
2016,17031171100,5
2016,17031420600,3
2018,17031242400,1884
2016,17031220300,982
2016,17031020902,475
2016,17031210501,233
2016,17031051300,5657
2016,17031040401,1539
2016,17031831100,4188
2016,17031340500,2751
2018,17031030800,2740
2016,17031842000,624
2016,17031140301,1032
2018,17031070700,2607
2016,17031040202,1568
2017,17031160700,555
2017,17031030101,828
2016,17031283200,1238
2016,17031050800,1212
2016,17031150300,215
2017,17031282800,32
2017,17031220400,1434
2017,17031030200,2329
2017,17031010702,465
2017,17031031000,3559
2017,17031063303,4514
2017,17031062600,2765
2017,17031110502,181
2017,17031230900,152
2017,17031351000,498
2017,17031410900,560
2018,17031241300,563
2018,17031410800,1095
2018,17031310400,19
2018,17031830800,670
2018,17031839700,148
2018,17031222200,1306
2018,17031770602,1115
2018,17031051100,317
2018,17031283800,430
2019,17031080300,71716
2019,17031081000,105793
2019,17031243500,44038
2019,17031838200,25630
2019,17031061902,14558
2019,17031070500,2550
2019,17031243100,1180
2019,17031242000,7385
2019,17031330200,10767
2019,17031832000,5888
2019,17031240300,2362
2017,17031010202,119
2017,17031310300,355
2017,17031030703,1024
2017,17031150200,281
2017,17031140701,65
2017,17031222500,68
2017,17031110100,49
2017,17031150300,113
2017,17031843200,429
2017,17031241000,97
2017,17031151002,41
2017,17031210501,43
2017,17031230100,34
2017,17031161200,5
2016,17031010501,532
2016,17031350100,564
2016,17031160200,512
2017,17031831400,14
2016,17031020602,654
2016,17031161100,332
2016,17031150800,44
2016,17031411100,245
2016,17031843300,273
2018,17031010202,36
2018,17031010702,180
2018,17031160700,276
2018,17031221500,504
2018,17031832900,861
2018,17031831700,4
2018,17031110400,48
2018,17031030102,209
2018,17031050700,371
2015,17031010702,839
2015,17031843200,578
2015,17031283800,2330
2015,17031842000,852
2015,17031030400,1249
2015,17031161200,30
2015,17031010701,118
2015,17031230100,202
2015,17031010100,252
2015,17031140702,536
2015,17031842800,1
2018,17031151001,3
2016,17031140702,443
2016,17031050900,337
2016,17031140100,180
2016,17031161300,136
2016,17031291200,1
2016,17031440202,2
2016,17031230600,10
2016,17031660302,1
2016,17031222600,197
2016,17031560100,6
2016,17031540102,1
2016,17031560200,4
2016,17031671600,1
2016,17031640400,1
2016,17031420400,92
2016,17031282700,182
2016,17031836300,29
2016,17031292400,1
2016,17031837400,73
2016,17031580100,14
2016,17031831200,13
2016,17031750200,6
2016,17031200200,46
2016,17031833900,3
2016,17031430102,20
2016,17031700401,1
2016,17031590600,6
2016,17031839600,13
2016,17031271500,1
2017,17031190702,6
2017,17031030702,161
2017,17031170400,1
2018,17031842400,19
2017,17031250200,2
2017,17031290900,1
2017,17031100400,13
2017,17031150700,11
2017,17031831700,18
2017,17031250800,1
2017,17031770902,3
2017,17031020400,67
2017,17031200402,9
2018,17031060200,383
2018,17031350100,250
2018,17031210602,109
2018,17031839600,33
2018,17031640700,2
2018,17031030104,37
2018,17031836900,1
2018,17031020701,25
2018,17031222600,22
2018,17031161000,264
2018,17031836600,5
2018,17031843600,11
2018,17031031800,161
2018,17031842600,8
2018,17031834200,12
2022,17031081700,100927
2022,17031833000,76464
2022,17031081201,77630
2022,17031833100,15413
2022,17031080100,24888
2022,17031841000,36233
2022,17031241400,2138
2022,17031842200,5952
2022,17031062100,839
2022,17031080202,10714
2022,17031810400,183
2022,17031062800,330
2022,17031840300,71
2022,17031063400,525
2022,17031242000,304
2022,17031243400,318
2022,17031051400,24
2022,17031283200,11
2022,17031030400,29
2022,17031062200,185
2022,17031680900,22
2022,17031243200,131
2022,17031834600,17
2022,17031030900,85
2022,17031020602,21
2022,17031110400,4
2022,17031836100,12
2022,17031410700,25
2022,17031160602,4
2022,17031050100,28
2022,17031210700,21
2022,17031130300,9
2022,17031051300,53
2022,17031062300,52
2015,17031770602,645
2022,17031251400,1
2022,17031661000,1
2022,17031560300,3
2022,17031160501,2
2022,17031400800,5
2022,17031241300,17
2022,17031110100,1
2022,17031100100,4
2022,17031420800,3
2022,17031292200,1
2022,17031500300,2
2019,17031062400,484
2019,17031283800,206
2021,17031081401,46693
2019,17031030706,1479
2019,17031222200,647
2019,17031160200,159
2019,17031242400,559
2019,17031832400,359
2019,17031070103,883
2019,17031062300,665
2019,17031130300,11
2019,17031691200,6
2019,17031241200,296
2019,17031842600,12
2019,17031221600,641
2021,17031030604,79
2019,17031838000,226
2019,17031440300,5
2019,17031390100,28
2019,17031410100,121
2019,17031390500,14
2021,17031080202,3967
2021,17031030706,320
2019,17031291600,18
2020,17031838200,6160
2019,17031843600,8
2019,17031836400,43
2019,17031120400,25
2021,17031031300,217
2021,17031842900,100
2020,17031833000,46945
2020,17031081202,16032
2020,17031770700,5714
2020,17031150200,23
2020,17031750100,2
2020,17031070101,3867
2019,17031240600,104
2019,17031841800,3
2020,17031080201,6450
2019,17031282800,2
2020,17031031000,124
2020,17031243200,228
2019,17031050900,55
2019,17031400800,3
2019,17031835900,13
2020,17031830600,50
2020,17031410900,21
2020,17031071200,2006
2020,17031071400,6237
2020,17031430400,1
2020,17031842900,149
2020,17031832100,142
2020,17031063303,309
2020,17031832500,787
2020,17031020801,13
2020,17031030104,3
