"GEO_ID","NAME","B25058_001E","B25058_001M","B25058_001MA","B25058_001EA",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Margin of Error!!Median contract rent","Annotation of Margin of Error!!Median contract rent","Annotation of Estimate!!Median contract rent",
"1400000US17031191200","Census Tract 1912, Cook County, Illinois","858","36","null","null",
"1400000US17031191301","Census Tract 1913.01, Cook County, Illinois","910","145","null","null",
"1400000US17031191302","Census Tract 1913.02, Cook County, Illinois","932","106","null","null",
"1400000US17031200100","Census Tract 2001, Cook County, Illinois","907","53","null","null",
"1400000US17031200200","Census Tract 2002, Cook County, Illinois","887","57","null","null",
"1400000US17031200300","Census Tract 2003, Cook County, Illinois","871","62","null","null",
"1400000US17031200401","Census Tract 2004.01, Cook County, Illinois","818","66","null","null",
"1400000US17031200402","Census Tract 2004.02, Cook County, Illinois","752","100","null","null",
"1400000US17031210100","Census Tract 2101, Cook County, Illinois","1137","109","null","null",
"1400000US17031210400","Census Tract 2104, Cook County, Illinois","954","30","null","null",
"1400000US17031210501","Census Tract 2105.01, Cook County, Illinois","978","66","null","null",
"1400000US17031210502","Census Tract 2105.02, Cook County, Illinois","957","43","null","null",
"1400000US17031210601","Census Tract 2106.01, Cook County, Illinois","1019","103","null","null",
"1400000US17031210602","Census Tract 2106.02, Cook County, Illinois","996","106","null","null",
"1400000US17031210700","Census Tract 2107, Cook County, Illinois","1131","107","null","null",
"1400000US17031210800","Census Tract 2108, Cook County, Illinois","940","93","null","null",
"1400000US17031210900","Census Tract 2109, Cook County, Illinois","1233","119","null","null",
"1400000US17031220300","Census Tract 2203, Cook County, Illinois","1328","145","null","null",
"1400000US17031220400","Census Tract 2204, Cook County, Illinois","1601","113","null","null",
"1400000US17031220500","Census Tract 2205, Cook County, Illinois","1526","196","null","null",
"1400000US17031220601","Census Tract 2206.01, Cook County, Illinois","1286","122","null","null",
"1400000US17031220602","Census Tract 2206.02, Cook County, Illinois","1103","93","null","null",
"1400000US17031220701","Census Tract 2207.01, Cook County, Illinois","1007","113","null","null",
"1400000US17031220702","Census Tract 2207.02, Cook County, Illinois","981","50","null","null",
"1400000US17031220901","Census Tract 2209.01, Cook County, Illinois","844","104","null","null",
"1400000US17031220902","Census Tract 2209.02, Cook County, Illinois","944","47","null","null",
"1400000US17031221000","Census Tract 2210, Cook County, Illinois","1059","105","null","null",
"1400000US17031221100","Census Tract 2211, Cook County, Illinois","1120","67","null","null",
"1400000US17031221200","Census Tract 2212, Cook County, Illinois","1510","168","null","null",
"1400000US17031221300","Census Tract 2213, Cook County, Illinois","1108","97","null","null",
"1400000US17031221400","Census Tract 2214, Cook County, Illinois","1537","197","null","null",
"1400000US17031221500","Census Tract 2215, Cook County, Illinois","786","84","null","null",
"1400000US17031221600","Census Tract 2216, Cook County, Illinois","1531","156","null","null",
"1400000US17031222200","Census Tract 2222, Cook County, Illinois","1864","180","null","null",
"1400000US17031222500","Census Tract 2225, Cook County, Illinois","1147","269","null","null",
"1400000US17031222600","Census Tract 2226, Cook County, Illinois","1137","110","null","null",
"1400000US17031222700","Census Tract 2227, Cook County, Illinois","1085","114","null","null",
"1400000US17031222800","Census Tract 2228, Cook County, Illinois","946","85","null","null",
"1400000US17031222900","Census Tract 2229, Cook County, Illinois","1078","194","null","null",
"1400000US17031230100","Census Tract 2301, Cook County, Illinois","1000","100","null","null",
"1400000US17031230200","Census Tract 2302, Cook County, Illinois","974","82","null","null",
"1400000US17031230300","Census Tract 2303, Cook County, Illinois","860","104","null","null",
"1400000US17031230400","Census Tract 2304, Cook County, Illinois","910","71","null","null",
"1400000US17031230500","Census Tract 2305, Cook County, Illinois","741","98","null","null",
"1400000US17031230600","Census Tract 2306, Cook County, Illinois","794","38","null","null",
"1400000US17031230700","Census Tract 2307, Cook County, Illinois","877","40","null","null",
"1400000US17031230800","Census Tract 2308, Cook County, Illinois","847","74","null","null",
"1400000US17031230900","Census Tract 2309, Cook County, Illinois","1020","97","null","null",
"1400000US17031231100","Census Tract 2311, Cook County, Illinois","761","43","null","null",
"1400000US17031231200","Census Tract 2312, Cook County, Illinois","864","49","null","null",
"1400000US17031231500","Census Tract 2315, Cook County, Illinois","747","86","null","null",
"1400000US17031240200","Census Tract 2402, Cook County, Illinois","1465","171","null","null",
"1400000US17031240300","Census Tract 2403, Cook County, Illinois","1505","243","null","null",
"1400000US17031240500","Census Tract 2405, Cook County, Illinois","1924","245","null","null",
"1400000US17031240600","Census Tract 2406, Cook County, Illinois","1386","188","null","null",
"1400000US17031240700","Census Tract 2407, Cook County, Illinois","986","193","null","null",
"1400000US17031240800","Census Tract 2408, Cook County, Illinois","1014","149","null","null",
"1400000US17031240900","Census Tract 2409, Cook County, Illinois","936","117","null","null",
"1400000US17031241000","Census Tract 2410, Cook County, Illinois","1252","148","null","null",
"1400000US17031241100","Census Tract 2411, Cook County, Illinois","1251","123","null","null",
"1400000US17031241200","Census Tract 2412, Cook County, Illinois","1572","138","null","null",
"1400000US17031241300","Census Tract 2413, Cook County, Illinois","1989","170","null","null",
"1400000US17031241400","Census Tract 2414, Cook County, Illinois","2037","219","null","null",
"1400000US17031241500","Census Tract 2415, Cook County, Illinois","1757","166","null","null",
"1400000US17031241600","Census Tract 2416, Cook County, Illinois","1586","116","null","null",
"1400000US17031242000","Census Tract 2420, Cook County, Illinois","1433","296","null","null",
"1400000US17031242100","Census Tract 2421, Cook County, Illinois","1692","168","null","null",
"1400000US17031242200","Census Tract 2422, Cook County, Illinois","1570","136","null","null",
"1400000US17031242300","Census Tract 2423, Cook County, Illinois","1408","93","null","null",
"1400000US17031242400","Census Tract 2424, Cook County, Illinois","1417","60","null","null",
"1400000US17031242500","Census Tract 2425, Cook County, Illinois","1286","81","null","null",
"1400000US17031242600","Census Tract 2426, Cook County, Illinois","1118","97","null","null",
"1400000US17031242700","Census Tract 2427, Cook County, Illinois","922","70","null","null",
"1400000US17031242800","Census Tract 2428, Cook County, Illinois","1368","123","null","null",
"1400000US17031242900","Census Tract 2429, Cook County, Illinois","1311","86","null","null",
"1400000US17031243000","Census Tract 2430, Cook County, Illinois","1250","159","null","null",
"1400000US17031243100","Census Tract 2431, Cook County, Illinois","1463","244","null","null",
"1400000US17031243200","Census Tract 2432, Cook County, Illinois","1476","153","null","null",
"1400000US17031243300","Census Tract 2433, Cook County, Illinois","1454","112","null","null",
