"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031491400","Census Tract 4914, Cook County, Illinois","3221","820","null","null","95","66","null","null","3079","820","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","47","null","55","null","30","49","null","null","17","null","25","null",
"1400000US17031500100","Census Tract 5001, Cook County, Illinois","3083","331","null","null","47","54","null","null","3036","331","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","11","null","null","0","null","11","null","0","11","null","null","0","null","11","null",
"1400000US17031500200","Census Tract 5002, Cook County, Illinois","2113","284","null","null","30","35","null","null","2036","285","null","null","0","11","null","null","0","null","11","null","0","11","null","null","13","21","null","null","34","null","36","null","0","11","null","null","34","null","36","null",
"1400000US17031500300","Census Tract 5003, Cook County, Illinois","1417","147","null","null","797","145","null","null","501","134","null","null","0","11","null","null","10","null","20","null","0","11","null","null","22","27","null","null","87","null","68","null","0","11","null","null","87","null","68","null",
"1400000US17031510100","Census Tract 5101, Cook County, Illinois","3027","403","null","null","2260","462","null","null","410","220","null","null","8","12","null","null","0","null","11","null","0","11","null","null","309","208","null","null","40","null","48","null","23","37","null","null","17","null","29","null",
"1400000US17031510200","Census Tract 5102, Cook County, Illinois","2801","277","null","null","717","175","null","null","1929","324","null","null","0","11","null","null","1","null","3","null","0","11","null","null","83","98","null","null","71","null","68","null","8","13","null","null","63","null","65","null",
"1400000US17031510300","Census Tract 5103, Cook County, Illinois","5260","546","null","null","27","24","null","null","5220","549","null","null","0","15","null","null","0","null","15","null","0","15","null","null","7","14","null","null","6","null","11","null","0","15","null","null","6","null","11","null",
"1400000US17031520100","Census Tract 5201, Cook County, Illinois","2019","369","null","null","1625","349","null","null","128","118","null","null","24","35","null","null","0","null","11","null","0","11","null","null","182","116","null","null","60","null","83","null","0","11","null","null","60","null","83","null",
"1400000US17031520200","Census Tract 5202, Cook County, Illinois","3572","614","null","null","3004","609","null","null","300","174","null","null","0","11","null","null","9","null","16","null","0","11","null","null","206","128","null","null","53","null","55","null","23","36","null","null","30","null","39","null",
"1400000US17031520300","Census Tract 5203, Cook County, Illinois","6058","528","null","null","4993","590","null","null","175","201","null","null","13","21","null","null","33","null","48","null","0","15","null","null","661","275","null","null","183","null","192","null","159","186","null","null","24","null","41","null",
"1400000US17031520400","Census Tract 5204, Cook County, Illinois","4186","548","null","null","3527","573","null","null","229","157","null","null","0","11","null","null","0","null","11","null","0","11","null","null","356","199","null","null","74","null","84","null","74","84","null","null","0","null","11","null",
