"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","7427","1149","null","null","3871","1035","null","null","323","202","null","null","96","170","null","null","1303","532","null","null","0","17","null","null","485","null","363","null","1349","948","null","null","180","193","null","null","1169","943","null","null",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","2844","388","null","null","1759","319","null","null","59","48","null","null","0","12","null","null","899","322","null","null","0","12","null","null","71","null","112","null","56","63","null","null","0","12","null","null","56","63","null","null",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","3442","573","null","null","2764","501","null","null","119","134","null","null","23","35","null","null","247","226","null","null","0","12","null","null","32","null","35","null","257","151","null","null","39","42","null","null","218","147","null","null",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","4796","400","null","null","4034","348","null","null","71","55","null","null","0","12","null","null","210","112","null","null","0","12","null","null","202","null","157","null","279","136","null","null","27","32","null","null","252","129","null","null",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","2635","381","null","null","2027","347","null","null","248","192","null","null","0","12","null","null","19","20","null","null","0","12","null","null","261","null","250","null","80","51","null","null","15","23","null","null","65","46","null","null",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","3320","372","null","null","2788","337","null","null","64","52","null","null","0","12","null","null","200","108","null","null","0","12","null","null","115","null","83","null","153","95","null","null","21","25","null","null","132","90","null","null",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","1629","229","null","null","1363","224","null","null","44","40","null","null","0","12","null","null","42","41","null","null","0","12","null","null","58","null","53","null","122","49","null","null","8","13","null","null","114","47","null","null",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","1810","259","null","null","1587","247","null","null","33","33","null","null","0","12","null","null","82","63","null","null","0","12","null","null","22","null","35","null","86","73","null","null","0","12","null","null","86","73","null","null",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","2832","375","null","null","2412","346","null","null","97","78","null","null","38","60","null","null","130","62","null","null","0","12","null","null","47","null","59","null","108","69","null","null","0","12","null","null","108","69","null","null",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","5594","871","null","null","4490","477","null","null","179","179","null","null","0","17","null","null","223","126","null","null","36","55","null","null","16","null","25","null","650","579","null","null","309","487","null","null","341","308","null","null",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","2550","371","null","null","1789","265","null","null","6","9","null","null","0","12","null","null","326","200","null","null","0","12","null","null","92","null","83","null","337","246","null","null","93","80","null","null","244","215","null","null",
