"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","3982","null","416","null","2954","null","341","null","371","221","null","null","0","12","null","null","111","null","56","null","0","null","12","null","286","null","204","null","260","142","null","null","92","null","95","null","168","null","98","null",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","6980","null","976","null","5280","null","891","null","149","98","null","null","1","2","null","null","540","null","213","null","0","null","17","null","573","null","434","null","437","284","null","null","216","null","233","null","221","null","171","null",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","7726","null","991","null","3448","null","622","null","393","254","null","null","181","224","null","null","1769","null","515","null","0","null","17","null","675","null","460","null","1260","932","null","null","456","null","441","null","804","null","825","null",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","2988","null","449","null","1651","null","344","null","216","234","null","null","0","12","null","null","855","null","308","null","0","null","12","null","219","null","205","null","47","57","null","null","9","null","16","null","38","null","54","null",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","3440","null","536","null","2542","null","416","null","150","135","null","null","20","33","null","null","240","null","224","null","0","null","12","null","88","null","63","null","400","193","null","null","167","null","111","null","233","null","165","null",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","4621","null","524","null","3756","null","450","null","75","61","null","null","0","12","null","null","261","null","142","null","0","null","12","null","183","null","197","null","346","196","null","null","78","null","82","null","268","null","185","null",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","2817","null","409","null","2119","null","343","null","250","188","null","null","48","77","null","null","9","null","16","null","0","null","12","null","286","null","249","null","105","84","null","null","15","null","24","null","90","null","80","null",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","3667","null","413","null","2853","null","408","null","130","84","null","null","0","12","null","null","387","null","205","null","0","null","12","null","146","null","126","null","151","107","null","null","23","null","27","null","128","null","94","null",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","1689","null","191","null","1393","null","193","null","32","26","null","null","0","12","null","null","86","null","100","null","0","null","12","null","56","null","52","null","122","53","null","null","14","null","15","null","108","null","51","null",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","1816","null","263","null","1661","null","257","null","11","15","null","null","0","12","null","null","59","null","52","null","0","null","12","null","10","null","19","null","75","65","null","null","0","null","12","null","75","null","65","null",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","2769","null","426","null","2359","null","404","null","62","54","null","null","0","12","null","null","121","null","83","null","0","null","12","null","58","null","57","null","169","99","null","null","71","null","71","null","98","null","72","null",
