"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031420500","Census Tract 4205, Cook County, Illinois","1659","null","288","null","0","11","null","null","1620","null","274","null","0","null","11","null","22","57","null","null","0","11","null","null","0","null","11","null","17","null","25","null","0","null","11","null","17","null","25","null",
"1400000US17031420600","Census Tract 4206, Cook County, Illinois","2097","null","257","null","96","99","null","null","1911","null","258","null","0","null","11","null","0","11","null","null","0","11","null","null","12","null","18","null","78","null","71","null","19","null","30","null","59","null","64","null",
"1400000US17031420700","Census Tract 4207, Cook County, Illinois","3036","null","602","null","27","39","null","null","2903","null","607","null","26","null","42","null","0","11","null","null","0","11","null","null","66","null","78","null","14","null","21","null","14","null","21","null","0","null","11","null",
"1400000US17031420800","Census Tract 4208, Cook County, Illinois","2158","null","349","null","122","132","null","null","1946","null","327","null","0","null","11","null","24","37","null","null","0","11","null","null","0","null","11","null","66","null","55","null","16","null","18","null","50","null","52","null",
"1400000US17031421200","Census Tract 4212, Cook County, Illinois","1210","null","251","null","0","11","null","null","1171","null","247","null","16","null","25","null","0","11","null","null","0","11","null","null","14","null","22","null","9","null","15","null","0","null","11","null","9","null","15","null",
"1400000US17031430101","Census Tract 4301.01, Cook County, Illinois","3118","null","446","null","91","87","null","null","3002","null","455","null","0","null","11","null","0","11","null","null","0","11","null","null","25","null","40","null","0","null","11","null","0","null","11","null","0","null","11","null",
"1400000US17031430102","Census Tract 4301.02, Cook County, Illinois","3046","null","301","null","67","33","null","null","2802","null","300","null","1","null","3","null","28","43","null","null","0","11","null","null","38","null","59","null","110","null","71","null","31","null","50","null","79","null","81","null",
"1400000US17031430200","Census Tract 4302, Cook County, Illinois","4961","null","814","null","420","470","null","null","4477","null","768","null","54","null","78","null","0","11","null","null","0","11","null","null","10","null","18","null","0","null","11","null","0","null","11","null","0","null","11","null",
"1400000US17031430300","Census Tract 4303, Cook County, Illinois","2398","null","367","null","35","29","null","null","2340","null","369","null","0","null","11","null","7","10","null","null","0","11","null","null","0","null","11","null","16","null","17","null","0","null","11","null","16","null","17","null",
"1400000US17031430400","Census Tract 4304, Cook County, Illinois","2756","null","508","null","86","56","null","null","2646","null","508","null","0","null","11","null","0","11","null","null","0","11","null","null","0","null","11","null","24","null","38","null","0","null","11","null","24","null","38","null",
"1400000US17031430500","Census Tract 4305, Cook County, Illinois","3569","null","610","null","53","45","null","null","3443","null","609","null","0","null","11","null","11","18","null","null","0","11","null","null","0","null","11","null","62","null","58","null","28","null","44","null","34","null","42","null",
