"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031803702","Census Tract 8037.02, Cook County, Illinois","6043","null","312","null","5008","471","null","null","20","null","30","null","0","null","16","null","709","null","325","null","0","null","16","null","129","140","null","null","177","null","130","null","0","null","16","null","177","null","130","null",
"1400000US17031803800","Census Tract 8038, Cook County, Illinois","5135","null","337","null","4611","292","null","null","2","null","4","null","0","null","16","null","239","null","194","null","0","null","16","null","202","192","null","null","81","null","74","null","30","null","47","null","51","null","58","null",
"1400000US17031803901","Census Tract 8039.01, Cook County, Illinois","3163","null","291","null","2713","297","null","null","86","null","76","null","0","null","11","null","304","null","136","null","0","null","11","null","30","33","null","null","30","null","49","null","30","null","49","null","0","null","11","null",
"1400000US17031803902","Census Tract 8039.02, Cook County, Illinois","3749","null","292","null","3584","280","null","null","122","null","116","null","0","null","11","null","33","null","29","null","0","null","11","null","0","11","null","null","10","null","16","null","0","null","11","null","10","null","16","null",
"1400000US17031804000","Census Tract 8040, Cook County, Illinois","4307","null","278","null","3714","356","null","null","39","null","49","null","0","null","11","null","229","null","127","null","0","null","11","null","275","138","null","null","50","null","51","null","0","null","11","null","50","null","51","null",
"1400000US17031804102","Census Tract 8041.02, Cook County, Illinois","6773","null","295","null","5767","334","null","null","13","null","14","null","0","null","16","null","831","null","170","null","72","null","107","null","1","2","null","null","89","null","88","null","0","null","16","null","89","null","88","null",
"1400000US17031804104","Census Tract 8041.04, Cook County, Illinois","4951","null","287","null","3343","246","null","null","19","null","23","null","0","null","11","null","1497","null","250","null","0","null","11","null","1","4","null","null","91","null","60","null","25","null","37","null","66","null","47","null",
"1400000US17031804105","Census Tract 8041.05, Cook County, Illinois","4280","null","234","null","3594","223","null","null","86","null","98","null","0","null","11","null","470","null","113","null","0","null","11","null","0","11","null","null","130","null","122","null","0","null","11","null","130","null","122","null",
"1400000US17031804106","Census Tract 8041.06, Cook County, Illinois","6712","null","410","null","5091","402","null","null","63","null","48","null","0","null","16","null","1320","null","199","null","0","null","16","null","115","118","null","null","123","null","88","null","32","null","50","null","91","null","82","null",
"1400000US17031804108","Census Tract 8041.08, Cook County, Illinois","3777","null","328","null","1840","430","null","null","367","null","189","null","0","null","11","null","1312","null","374","null","0","null","11","null","183","220","null","null","75","null","86","null","59","null","82","null","16","null","25","null",
"1400000US17031804109","Census Tract 8041.09, Cook County, Illinois","2996","null","196","null","2340","240","null","null","167","null","129","null","0","null","11","null","232","null","145","null","0","null","11","null","106","82","null","null","151","null","100","null","44","null","60","null","107","null","79","null",
