"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031031900","Census Tract 319, Cook County, Illinois","2327","null","204","null","1912","216","null","null","47","41","null","null","20","23","null","null","154","103","null","null","0","null","11","null","177","null","149","null","17","18","null","null","0","11","null","null","17","18","null","null",
"1400000US17031032100","Census Tract 321, Cook County, Illinois","6685","null","714","null","5384","673","null","null","538","365","null","null","0","15","null","null","270","211","null","null","0","null","15","null","165","null","178","null","328","283","null","null","92","99","null","null","236","276","null","null",
"1400000US17031040100","Census Tract 401, Cook County, Illinois","3996","null","382","null","3444","356","null","null","187","96","null","null","24","35","null","null","200","119","null","null","0","null","11","null","110","null","66","null","31","21","null","null","0","11","null","null","31","21","null","null",
"1400000US17031040201","Census Tract 402.01, Cook County, Illinois","6703","null","518","null","4659","383","null","null","242","244","null","null","0","15","null","null","787","310","null","null","0","null","15","null","586","null","278","null","429","322","null","null","48","80","null","null","381","314","null","null",
"1400000US17031040202","Census Tract 402.02, Cook County, Illinois","7188","null","588","null","4463","782","null","null","186","113","null","null","0","15","null","null","1582","421","null","null","0","null","15","null","472","null","339","null","485","342","null","null","16","20","null","null","469","343","null","null",
"1400000US17031040300","Census Tract 403, Cook County, Illinois","2939","null","267","null","1896","252","null","null","102","99","null","null","0","11","null","null","740","208","null","null","0","null","11","null","0","null","11","null","201","96","null","null","59","64","null","null","142","78","null","null",
"1400000US17031040401","Census Tract 404.01, Cook County, Illinois","3179","null","368","null","2442","350","null","null","139","140","null","null","11","17","null","null","189","77","null","null","0","null","11","null","291","null","291","null","107","76","null","null","17","24","null","null","90","70","null","null",
"1400000US17031040402","Census Tract 404.02, Cook County, Illinois","4969","null","365","null","3986","452","null","null","151","111","null","null","0","11","null","null","514","324","null","null","0","null","11","null","120","null","143","null","198","97","null","null","0","11","null","null","198","97","null","null",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","2560","null","323","null","2390","322","null","null","72","63","null","null","0","11","null","null","52","53","null","null","0","null","11","null","18","null","19","null","28","37","null","null","0","11","null","null","28","37","null","null",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","3393","null","366","null","2720","334","null","null","75","64","null","null","0","11","null","null","161","163","null","null","0","null","11","null","193","null","120","null","244","310","null","null","0","11","null","null","244","310","null","null",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","1838","null","187","null","1495","140","null","null","94","102","null","null","20","30","null","null","147","70","null","null","0","null","11","null","0","null","11","null","82","36","null","null","0","11","null","null","82","36","null","null",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","2153","null","217","null","1917","199","null","null","30","35","null","null","0","11","null","null","115","92","null","null","0","null","11","null","31","null","51","null","60","64","null","null","0","11","null","null","60","64","null","null",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","2584","null","283","null","2269","296","null","null","106","77","null","null","24","36","null","null","64","41","null","null","0","null","11","null","48","null","41","null","73","68","null","null","0","11","null","null","73","68","null","null",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","4953","null","460","null","4379","469","null","null","160","105","null","null","0","11","null","null","169","108","null","null","0","null","11","null","52","null","50","null","193","197","null","null","0","11","null","null","193","197","null","null",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","2633","null","222","null","2156","221","null","null","15","26","null","null","23","38","null","null","348","177","null","null","0","null","11","null","13","null","22","null","78","88","null","null","0","11","null","null","78","88","null","null",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","6129","null","546","null","5478","565","null","null","55","47","null","null","0","15","null","null","151","98","null","null","0","null","15","null","83","null","86","null","362","209","null","null","0","15","null","null","362","209","null","null",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","2164","null","202","null","1951","208","null","null","16","24","null","null","0","11","null","null","150","115","null","null","0","null","11","null","13","null","19","null","34","25","null","null","13","21","null","null","21","23","null","null",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","1610","null","108","null","1497","122","null","null","6","9","null","null","6","9","null","null","44","29","null","null","0","null","11","null","27","null","20","null","30","23","null","null","6","8","null","null","24","20","null","null",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","1436","null","100","null","1316","110","null","null","17","15","null","null","0","11","null","null","26","23","null","null","0","null","11","null","32","null","46","null","45","34","null","null","7","10","null","null","38","32","null","null",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","1452","null","167","null","1211","167","null","null","9","13","null","null","0","11","null","null","142","62","null","null","0","null","11","null","50","null","31","null","40","25","null","null","0","11","null","null","40","25","null","null",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","1708","null","151","null","1474","171","null","null","53","45","null","null","0","11","null","null","116","70","null","null","0","null","11","null","5","null","8","null","60","48","null","null","0","11","null","null","60","48","null","null",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","1516","null","174","null","1339","155","null","null","0","11","null","null","0","11","null","null","45","25","null","null","0","null","11","null","73","null","98","null","59","43","null","null","0","11","null","null","59","43","null","null",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","1699","null","176","null","1389","158","null","null","155","106","null","null","0","11","null","null","64","44","null","null","0","null","11","null","12","null","18","null","79","62","null","null","34","52","null","null","45","37","null","null",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","2691","null","230","null","2472","245","null","null","40","46","null","null","0","11","null","null","91","59","null","null","0","null","11","null","33","null","30","null","55","40","null","null","11","18","null","null","44","33","null","null",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","1852","null","199","null","1406","158","null","null","54","36","null","null","0","11","null","null","92","48","null","null","0","null","11","null","87","null","58","null","213","162","null","null","18","26","null","null","195","165","null","null",
"1400000US17031060100","Census Tract 601, Cook County, Illinois","2708","null","233","null","2413","251","null","null","114","146","null","null","0","11","null","null","57","69","null","null","0","null","11","null","52","null","62","null","72","50","null","null","36","36","null","null","36","37","null","null",
"1400000US17031060200","Census Tract 602, Cook County, Illinois","2255","null","228","null","2012","227","null","null","75","62","null","null","0","11","null","null","92","90","null","null","7","null","12","null","27","null","22","null","42","40","null","null","0","11","null","null","42","40","null","null",
