"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17031040600","Census Tract 406, Cook County, Illinois","2607","null","289","null","2342","null","312","null","115","90","null","null","0","null","11","null","46","null","47","null","0","null","11","null","28","null","53","null","76","null","76","null","0","null","11","null","76","null","76","null",
"1400000US17031040700","Census Tract 407, Cook County, Illinois","3435","null","343","null","2824","null","302","null","70","59","null","null","0","null","11","null","164","null","92","null","0","null","11","null","129","null","92","null","248","null","279","null","0","null","11","null","248","null","279","null",
"1400000US17031040800","Census Tract 408, Cook County, Illinois","1691","null","171","null","1383","null","162","null","56","56","null","null","0","null","11","null","60","null","41","null","0","null","11","null","67","null","62","null","125","null","55","null","0","null","11","null","125","null","55","null",
"1400000US17031040900","Census Tract 409, Cook County, Illinois","1904","null","249","null","1687","null","242","null","35","32","null","null","0","null","11","null","101","null","75","null","0","null","11","null","24","null","34","null","57","null","49","null","0","null","11","null","57","null","49","null",
"1400000US17031050100","Census Tract 501, Cook County, Illinois","2736","null","242","null","2293","null","255","null","97","78","null","null","44","null","66","null","171","null","94","null","0","null","11","null","36","null","41","null","95","null","76","null","0","null","11","null","95","null","76","null",
"1400000US17031050200","Census Tract 502, Cook County, Illinois","5092","null","547","null","4425","null","468","null","95","84","null","null","0","null","16","null","224","null","107","null","29","null","46","null","17","null","28","null","302","null","235","null","0","null","16","null","302","null","235","null",
"1400000US17031050300","Census Tract 503, Cook County, Illinois","2483","null","242","null","2024","null","279","null","0","11","null","null","0","null","11","null","291","null","190","null","0","null","11","null","105","null","84","null","63","null","51","null","22","null","38","null","41","null","37","null",
"1400000US17031050500","Census Tract 505, Cook County, Illinois","5914","null","670","null","5387","null","680","null","18","26","null","null","0","null","16","null","195","null","122","null","0","null","16","null","78","null","79","null","236","null","151","null","0","null","16","null","236","null","151","null",
"1400000US17031050600","Census Tract 506, Cook County, Illinois","2160","null","186","null","2054","null","210","null","8","17","null","null","0","null","11","null","52","null","54","null","0","null","11","null","0","null","11","null","46","null","46","null","0","null","11","null","46","null","46","null",
"1400000US17031050700","Census Tract 507, Cook County, Illinois","1742","null","215","null","1629","null","220","null","9","13","null","null","5","null","8","null","52","null","31","null","0","null","11","null","17","null","16","null","30","null","27","null","0","null","11","null","30","null","27","null",
"1400000US17031050800","Census Tract 508, Cook County, Illinois","1402","null","133","null","1195","null","157","null","41","43","null","null","0","null","11","null","38","null","29","null","0","null","11","null","79","null","57","null","49","null","55","null","10","null","11","null","39","null","54","null",
"1400000US17031050900","Census Tract 509, Cook County, Illinois","1414","null","217","null","1100","null","196","null","30","23","null","null","0","null","11","null","90","null","51","null","0","null","11","null","160","null","129","null","34","null","20","null","7","null","10","null","27","null","17","null",
"1400000US17031051000","Census Tract 510, Cook County, Illinois","1829","null","160","null","1584","null","143","null","49","37","null","null","0","null","11","null","108","null","81","null","0","null","11","null","26","null","34","null","62","null","43","null","0","null","11","null","62","null","43","null",
"1400000US17031051100","Census Tract 511, Cook County, Illinois","1732","null","207","null","1458","null","168","null","23","35","null","null","0","null","11","null","96","null","76","null","0","null","11","null","20","null","32","null","135","null","92","null","20","null","32","null","115","null","89","null",
"1400000US17031051200","Census Tract 512, Cook County, Illinois","1546","null","149","null","1296","null","145","null","105","59","null","null","0","null","11","null","62","null","35","null","0","null","11","null","15","null","18","null","68","null","44","null","7","null","10","null","61","null","43","null",
"1400000US17031051300","Census Tract 513, Cook County, Illinois","2893","null","227","null","2634","null","238","null","72","87","null","null","0","null","11","null","91","null","66","null","0","null","11","null","22","null","24","null","74","null","49","null","8","null","17","null","66","null","47","null",
"1400000US17031051400","Census Tract 514, Cook County, Illinois","2073","null","200","null","1617","null","202","null","137","112","null","null","0","null","11","null","125","null","76","null","11","null","16","null","80","null","57","null","103","null","58","null","7","null","10","null","96","null","56","null",
